Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
03/11/2025 11:31,03/11/2025 11:34,XAUUSD,Sell,1.700,2907.59000,0.00000,2907.97000,2907.63000,-8.5000,0.0000,34.0,44.53,0.12,00:00:03:41,,,,,,,,,,,,
03/06/2025 04:05,03/06/2025 04:11,XAUUSD,Sell,1.660,0.00000,0.00000,2926.15000,2925.53000,-8.3000,0.0000,62.0,86.89,0.23,00:00:06:00,,,,,,,,,,,,
03/05/2025 08:00,03/05/2025 08:03,XAUUSD,Sell,1.660,0.00000,0.00000,2918.69000,2917.83000,-8.3000,0.0000,86.0,125.96,0.34,00:00:03:55,,,,,,,,,,,,
03/05/2025 07:59,03/05/2025 08:03,XAUUSD,Sell,1.660,0.00000,0.00000,2918.32000,2917.74000,-8.3000,0.0000,58.0,82.24,0.22,00:00:04:55,,,,,,,,,,,,
03/05/2025 08:02,03/05/2025 08:03,XAUUSD,Sell,1.660,0.00000,0.00000,2918.97000,2917.79000,-8.3000,0.0000,118.0,175.91,0.48,00:00:01:54,,,,,,,,,,,,
03/04/2025 09:28,03/04/2025 09:33,XAUUSD,Sell,1.660,0.00000,0.00000,2899.91000,2897.59000,-8.3000,0.0000,232.0,358.90,0.99,00:00:05:42,,,,,,,,,,,,
02/27/2025 07:02,02/27/2025 07:04,XAUUSD,Buy,1.640,0.00000,0.00000,2895.77000,2896.06000,-8.2000,0.0000,29.0,37.24,0.10,00:00:02:52,,,,,,,,,,,,
02/27/2025 07:04,02/27/2025 07:04,XAUUSD,Buy,1.640,0.00000,0.00000,2894.18000,2896.06000,-8.2000,0.0000,188.0,286.40,0.79,00:00:00:51,,,,,,,,,,,,
02/27/2025 07:03,02/27/2025 07:04,XAUUSD,Buy,1.640,0.00000,0.00000,2895.41000,2896.05000,-8.2000,0.0000,64.0,92.09,0.26,00:00:01:51,,,,,,,,,,,,
02/26/2025 16:14,02/26/2025 16:14,XAUUSD,Buy,1.640,0.00000,0.00000,2893.20000,2896.20000,-8.2000,0.0000,300.0,460.94,1.30,00:00:00:33,,,,,,,,,,,,
02/26/2025 16:12,02/26/2025 16:14,XAUUSD,Buy,1.640,0.00000,0.00000,2893.60000,2896.06000,-8.2000,0.0000,246.0,376.50,1.07,00:00:02:33,,,,,,,,,,,,
02/26/2025 16:11,02/26/2025 16:14,XAUUSD,Buy,1.640,0.00000,0.00000,2898.54000,2896.05000,-8.2000,0.0000,-249.0,-397.63,-1.12,00:00:03:33,,,,,,,,,,,,
02/24/2025 03:21,02/24/2025 03:21,XAUUSD,Buy,1.640,0.00000,0.00000,2922.79000,2924.20000,-8.2000,0.0000,141.0,211.79,0.60,00:00:00:34,,,,,,,,,,,,
02/24/2025 03:20,02/24/2025 03:21,XAUUSD,Buy,1.640,0.00000,0.00000,2923.32000,2924.20000,-8.2000,0.0000,88.0,129.10,0.37,00:00:01:34,,,,,,,,,,,,
02/20/2025 08:00,02/20/2025 08:09,XAUUSD,Sell,1.500,2945.77000,0.00000,2946.87000,2945.79000,-7.5000,0.0000,108.0,147.80,0.42,00:00:09:55,,,,,,,,,,,,
02/20/2025 07:59,02/20/2025 08:09,XAUUSD,Sell,1.500,2945.77000,0.00000,2946.40000,2945.79000,-7.5000,0.0000,61.0,80.21,0.23,00:00:10:55,,,,,,,,,,,,
02/19/2025 03:53,02/19/2025 04:02,XAUUSD,Sell,1.500,0.00000,0.00000,2938.54000,2937.68000,-7.5000,0.0000,86.0,115.98,0.33,00:00:09:22,,,,,,,,,,,,
